Activity Type,Date,Title,Distance,Time,Avg Pace,Total Ascent,Steps
Running,2024-01-18 20:34:53,Berkeley Running,5.28,00:36:10,6:51,69,"6,568"
Running,2024-01-17 18:48:09,Berkeley Running,7.95,00:59:43,7:31,295,"10,680"
Running,2024-01-16 09:38:36,Berkeley - Recovery,4.19,00:37:04,8:51,161,"6,488"
Running,2024-01-15 15:17:53,Berkeley Running,5.09,00:41:40,8:11,630,"7,474"
Running,2024-01-14 08:58:12,Berkeley Running,5.03,00:40:36,8:05,256,"7,288"
Running,2024-01-13 17:44:37,Berkeley Running,4.13,00:29:56,7:15,98,"5,356"
Running,2024-01-12 17:00:56,San Diego Running,3.71,00:32:24,8:44,728,"5,792"
Running,2024-01-11 22:05:55,San Diego Running,8.40,00:58:53,7:00,807,"10,762"
Running,2024-01-10 22:01:21,San Diego Running,5.07,00:40:05,7:54,456,"7,236"
Running,2024-01-09 16:06:19,San Diego Running,6.23,00:49:35,7:58,751,"8,870"
Running,2024-01-08 17:07:55,San Diego Running,5.20,00:38:18,7:22,505,"6,948"
Running,2024-01-07 18:44:08,San Diego Running,3.53,00:28:27,8:03,305,"5,102"
Running,2024-01-06 15:32:07,San Diego Running,7.72,01:00:30,7:51,515,"10,936"
Running,2024-01-05 21:09:33,San Diego Running,3.38,00:26:36,7:53,279,"4,822"
Running,2024-01-04 13:28:08,San Diego Running,3.23,00:27:18,8:27,420,"4,870"
Running,2024-01-03 20:12:29,San Diego Running,3.12,00:25:52,8:17,305,"4,640"
Running,2024-01-02 17:42:19,San Diego Running,3.22,00:29:36,9:12,289,"5,166"
Running,2024-01-01 15:25:17,San Diego Running,3.18,00:28:32,8:58,295,"5,040"
Track Running,2023-12-31 14:02:05,San Diego Track Running,"50,420",03:52:50,7:26,--,"42,924"
Running,2023-12-31 13:57:54,San Diego Running,0.50,00:03:39.6,7:15,10,666
Running,2023-12-30 15:21:47,San Diego Running,13.47,01:39:55,7:25,751,"18,062"
Running,2023-12-29 13:18:37,San Diego Running,13.14,01:48:55,8:17,430,"19,272"
Running,2023-12-28 13:40:58,San Diego Running,18.06,02:17:58,7:38,764,"24,900"
Running,2023-12-27 10:10:39,San Diego Running,13.17,01:39:16,7:32,197,"17,756"
Running,2023-12-26 14:28:05,San Diego Running,15.12,01:55:29,7:38,"1,365","20,796"
Running,2023-12-25 11:14:11,San Diego Running,15.67,02:11:25,8:23,"1,473","23,116"
Running,2023-12-24 21:14:35,San Diego Running,3.14,00:25:52,8:14,344,"4,594"
Running,2023-12-23 21:14:40,San Diego Running,6.24,00:48:47,7:49,636,"8,750"
Running,2023-12-22 08:49:51,San Diego Running,5.06,00:40:55,8:05,673,"7,278"
Running,2023-12-21 10:56:18,San Diego Running,6.22,00:48:33,7:48,689,"8,684"
Running,2023-12-20 16:08:22,San Diego Running,4.71,00:32:06,6:49,433,"5,854"
Running,2023-12-19 23:06:54,San Diego Running,1.46,00:11:46,8:03,161,"2,110"
Running,2023-12-18 22:04:02,San Diego Running,1.45,00:12:22,8:32,161,"2,202"
Running,2023-12-17 22:27:17,San Diego Running,1.48,00:12:09,8:12,167,"2,154"
Running,2023-12-16 21:43:20,San Diego Running,1.45,00:12:14,8:27,161,"2,194"
Running,2023-12-15 21:39:27,San Diego Running,1.46,00:12:28,8:33,164,"2,236"
Running,2023-12-14 14:36:23,Pasadena Running,7.78,01:02:48,8:04,305,"11,242"
Running,2023-12-13 08:55:15,Berkeley Running,8.11,01:02:27,7:42,200,"11,178"
Running,2023-12-12 10:21:52,Berkeley Running,13.13,01:37:12,7:24,"1,608","17,432"
Running,2023-12-11 10:57:06,Berkeley Running,6.03,00:46:07,7:39,59,"8,348"
Running,2023-12-10 17:46:55,Berkeley Running,7.82,00:55:46,7:08,89,"10,138"
Running,2023-12-09 13:52:05,Berkeley Running,9.04,01:03:57,7:04,253,"11,572"
Running,2023-12-08 09:22:37,Berkeley Running,13.13,01:55:00,8:45,607,"20,278"
Running,2023-12-07 11:22:23,Berkeley Running,6.03,00:45:20,7:31,331,"8,294"
Running,2023-12-06 17:18:15,Berkeley Running,6.13,00:44:06,7:12,49,"7,910"
Running,2023-12-05 15:48:15,Berkeley Running,11.02,01:20:51,7:20,466,"14,518"
Running,2023-12-04 09:55:35,Berkeley Running,7.03,00:56:37,8:03,269,"10,128"
Running,2023-12-03 15:19:39,Berkeley Running,5.02,00:39:06,7:48,82,"7,008"
Running,2023-12-02 15:57:36,Berkeley Running,13.17,01:44:58,7:58,"1,204","18,594"
